RMSE,accuracy,spearman_corr,corr,R^2 score,feature,model
0.1059158532105972,0.8679378748270029,0.09825713716322308,0.11675347936392363,0.013631374943582141,fundamental_only,XGB
0.1059158532105972,0.8679378748270029,0.09825713716322308,0.11675347936392363,0.013631374943582141,fundamental_only,XGB
0.10448800963468619,0.8679378748270029,0.1324143685157053,0.10627010328685942,0.011293334852599769,return_only,XGB
0.10448800963468619,0.8679378748270029,0.1324143685157053,0.10627010328685942,0.011293334852599769,return_only,XGB
0.10448258720019343,0.8679378748270029,0.13942836364254727,0.10976577753045018,0.012048525916864282,technical_only,XGB
0.10448258720019343,0.8679378748270029,0.13942836364254727,0.10976577753045018,0.012048525916864282,technical_only,XGB
0.10464442042889278,0.8679378748270029,0.14504401498942876,0.11414838659852206,0.01302985416304565,fundamental+technical,XGB
0.10464442042889278,0.8679378748270029,0.14504401498942876,0.11414838659852206,0.01302985416304565,fundamental+technical,XGB
0.10490451708120348,0.8679378748270029,0.130835989517252,0.09746465707338041,0.009499359378431643,selected_columns,XGB
0.10490451708120348,0.8679378748270029,0.130835989517252,0.09746465707338041,0.009499359378431643,selected_columns,XGB
